bathrooms,bedrooms,beds,city,currency,id,is_business_travel_ready,is_fully_refundable,is_host_highly_rated,is_new_listing,is_rebookable,is_superhost,latitude,longitude,name,person_capacity,picture_count,price,price_with_service_fee,property_type_id,rate_type,reviews_count,room_and_property_type,room_type,room_type_category,space_type,tier_id,user_id
1,0,2,Den Haag,EUR,16388484,false,true,false,false,false,false,52.082795074059696,4.291692509306706,Studio with terrace (5 mn. from city centre),2,29,59,59,1,nightly,59,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,101505149
1,2,3,Rotterdam,EUR,27399441,false,true,true,false,false,false,51.93679717676909,4.463585123964033,Classic warm House nearby city centre Rotterdam,5,10,55,55,1,nightly,3,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,204494601
1,1,2,Rotterdam,EUR,25424974,false,true,true,false,false,false,51.92744150104789,4.457154966616826,"Double bedroom, authentic dutch experience",2,15,60,60,1,nightly,9,Privékamer in appartement,Privékamer,private_room,Privékamer,0,10862041
1,4,4,Kwintsheul,EUR,23876947,false,true,false,false,false,false,52.01394178295215,4.2529548961213655,Ruime complete woning met tuin nabij Den Haag Zuid,4,10,59,59,2,nightly,18,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,114030772
1,1,2,Schiedam,EUR,6795683,false,true,false,false,false,false,51.92158756460702,4.412570035320066,Comodo (Website hidden by Airbnb) en Schiedam Centro,4,11,52,52,1,nightly,55,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,14557253
1.5,1,1,Rotterdam,EUR,5967526,false,true,true,false,false,false,51.922719841131084,4.464304807910785,Cozy B&B Rotterdam Center 2 ,2,31,60,60,37,nightly,32,Privékamer in condo,Privékamer,private_room,Privékamer,0,29927312
1,1,2,Zevenbergen,EUR,21744977,false,true,false,false,false,false,51.645442711158076,4.604175968264698,Zevenbergen centrum,2,31,59,59,1,nightly,37,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,26168652
1,0,1,Rotterdam,EUR,20211162,false,true,false,false,false,false,51.88946069573278,4.506188973729393,New 2017 All-In Appartement #2 in a nice Centre,2,9,51,51,1,nightly,19,Privékamer in appartement,Privékamer,private_room,Privékamer,0,128557040
1.5,1,1,Den Haag,EUR,7528427,false,true,false,false,false,false,52.077802768781794,4.299035944503861,Spacious private room in city centre The Hague,2,17,60,60,1,nightly,97,Privékamer in appartement,Privékamer,private_room,Privékamer,0,39452593
1,1,1,Den Haag,EUR,10746032,false,true,true,false,false,true,52.10277694318286,4.273229753799442,Cozy Flat in Heart of Scheveningen,2,14,58,58,1,nightly,38,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,11712150
1,1,2,Rotterdam,EUR,21622863,false,true,false,false,false,false,51.92121988070829,4.5131528237357434,Rotterdam Kralingen Apartment nrErasmus University,4,6,55,55,1,nightly,0,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,26305141
1,1,2,Geervliet,EUR,24147589,false,true,true,false,false,true,51.85935961711874,4.256348166821498,Privé domein in woonboerderij met grote tuin,3,24,59,59,2,nightly,15,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,110664765
1,1,1,Den Haag,EUR,25657771,false,true,true,false,false,false,52.0697419144321,4.2741342253909815,Private garden studio between beach / city centre,2,12,53,53,40,nightly,16,Privékamer in guesthouse,Privékamer,private_room,Privékamer,0,193207912
1,1,1,Rotterdam,EUR,26853840,false,true,true,false,false,false,51.98551568487812,4.593429499448268,"Rotterdam, residential area, 20 min to city",2,9,60,60,36,nightly,7,Geheel herenhuis,Gehele woning/appartement,entire_home,Geheel herenhuis,0,201971822
1,1,1,Ridderkerk,EUR,23299845,false,true,true,false,false,true,51.86844319827772,4.591492484420006,Lovely house near Rotterdam Kinderdijk & Dordrecht,2,17,55,55,2,nightly,12,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,88141009
1.5,1,2,Alphen aan den Rijn,EUR,4721785,false,true,false,false,false,false,52.14042743517141,4.665546085676925,"Comfortable, Affordable,  Dutchable",2,22,52,52,2,nightly,59,Privékamer in woning,Privékamer,private_room,Privékamer,0,24390813
1,2,4,Oude-Tonge,EUR,21908482,false,true,true,false,false,true,51.684117841827714,4.211719260887374,Vrijstaand vakantiehuis aan het water.,5,21,59,59,2,nightly,22,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,159562403
2,2,3,The Hague,EUR,1459377,false,true,false,false,false,false,52.07422269991547,4.315893994517753,LUXE Apartment CITY CENTRE THE HAGUE,6,8,53,53,1,nightly,1,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,2023479
1,1,2,Den Haag,EUR,15872950,false,true,true,false,false,false,52.07399195608123,4.27433002376637,Apartment The Blue Door (two Dutch bikes included),4,17,51,51,2,nightly,47,Gehele woning,Gehele woning/appartement,entire_home,Gehele woning,0,11551692
1,1,1,Rotterdam,EUR,19646647,false,true,true,false,false,true,51.935177349719375,4.481586352049679,Quiet room in beautiful 19th century mansion,2,14,55,55,3,nightly,25,Privékamer in bed & breakfast,Privékamer,private_room,Privékamer,0,2537000
1,1,2,Rotterdam,EUR,27521361,false,true,false,true,false,false,51.91549983233699,4.441137727323678,River View Appartment,2,10,59,59,1,nightly,0,Geheel appartement,Gehele woning/appartement,entire_home,Geheel appartement,0,25065643
